Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Honda Amaze SX i-VTEC,2014,4.94,7.2,28246,Petrol,Individual,Manual,1
Chevrolet Beat Diesel PS,2012,2.4,3.9,65000,Diesel,Individual,Manual,0
BMW 5 Series 520d Luxury Line,2012,17.5,70.4,61240,Diesel,Individual,Automatic,0
Maruti Alto K10 2010-2014 VXI,2011,2.1,3.4,91211,Petrol,Individual,Manual,0
Maruti Wagon R LXI DUO BSIII,2008,1.45,3.35,64226,CNG,Individual,Manual,0
Hyundai Santro Xing GL,2008,1.45,3.5,93000,Petrol,Individual,Manual,0
Renault KWID RXT Optional,2018,4.45,4.8,1900,Petrol,Individual,Manual,0
Ford Ecosport Signature Edition Diesel,2019,11.65,12.1,23154,Diesel,Individual,Manual,0
Honda Brio VX AT,2014,4.15,6.9,26856,Petrol,Individual,Automatic,0
Toyota Innova Crysta 2.4 GX MT,2017,16.5,19.4,67489,Diesel,Individual,Manual,0
Hyundai i20 1.2 Magna,2010,2.25,7.1,18000,Petrol,Individual,Manual,0
Volkswagen Vento 1.5 TDI Comfortline,2014,5.39,12.1,56658,Diesel,Individual,Manual,0
Maruti Swift VDI,2012,2.5,6.9,82000,Diesel,Individual,Manual,1
Chevrolet Beat Diesel,2014,2.47,3.9,52398,Diesel,Individual,Manual,0
Toyota Fortuner 2.8 4WD MT,2013,13.28,36.7,105072,Diesel,Individual,Manual,0
Hyundai Xcent 1.1 CRDi S,2016,6.99,8.1,14656,Diesel,Individual,Manual,0
BMW 5 Series 2010-2013 525i,2008,11,59.3,61000,Petrol,Individual,Automatic,1
Jaguar XF 2.2 Litre Luxury,2014,26.5,51.9,48000,Diesel,Individual,Automatic,0
Jeep Compass 1.4 Limited Option,2017,17.75,23.7,4000,Petrol,Individual,Automatic,0
Hyundai Xcent 1.1 CRDi S,2016,3.5,8.1,80000,Diesel,Individual,Manual,0
Audi A4 35 TDI Technology,2015,25,55.6,45000,Diesel,Individual,Automatic,0
Hyundai i20 1.2 Magna,2015,4.6,7.1,35000,Petrol,Individual,Manual,0
Ford EcoSport 1.5 Petrol Titanium Plus AT,2018,12.41,14.1,18385,Petrol,Individual,Automatic,0
Maruti S-Cross Zeta DDiS 200 SH,2016,7.94,13.3,74611,Diesel,Individual,Manual,0
Renault Duster 110PS Diesel RxZ Pack,2014,7.25,12.1,90000,Diesel,Individual,Manual,0
Hyundai Santro Xing GL,2010,2.45,3.5,58163,Petrol,Individual,Manual,0
Chevrolet Beat Diesel LT,2011,1.5,3.9,109500,Diesel,Individual,Manual,2
Toyota Innova Crysta 2.8 ZX AT,2016,20.5,28.1,108000,Diesel,Individual,Automatic,0
Hyundai Grand i10 Sportz,2013,3.2,6.6,29000,Petrol,Individual,Manual,0
Maruti Ertiga VDI,2016,7,11.3,130000,Diesel,Individual,Manual,0
Honda City 1.5 V AT Sunroof,2016,8.73,11.2,47681,Petrol,Individual,Automatic,0
Maruti Alto LXi BSIII,2009,1.7,5.5,35000,Petrol,Individual,Manual,0
Maruti Vitara Brezza ZDi Plus,2019,10.49,11.2,34688,Diesel,Individual,Manual,0
Tata Zest Revotron 1.2 XT,2014,3.95,8.6,40000,Petrol,Individual,Manual,0
Maruti Vitara Brezza VDi,2017,6.5,9.5,35000,Diesel,Individual,Manual,0
Mahindra XUV300 W8 Diesel,2012,7.25,12.8,97000,Diesel,Individual,Manual,0
Hyundai Verna CRDi 1.6 SX Option,2014,6.01,15.6,89614,Diesel,Individual,Manual,0
Toyota Innova 2.5 V Diesel 7-seater,2011,9.2,9.6,248000,Diesel,Individual,Manual,1
Tata Hexa XT,2017,12,19.9,55000,Diesel,Individual,Manual,0
Tata Tiago 1.2 Revotron XZ,2018,5.88,6.6,9565,Petrol,Individual,Manual,0
Mercedes-Benz E-Class E 220 d,2018,51.35,87.0,20446,Petrol,Individual,Automatic,0
Toyota Etios VD,2012,5.25,8.5,48000,Diesel,Individual,Manual,0
Mini Cooper 5 DOOR D,2014,22,42.1,34000,Diesel,Individual,Automatic,0
Skoda Superb Elegance 1.8 TSI AT,2009,4.35,22.3,108000,Petrol,Individual,Automatic,0
Maruti Swift VDi BSIII W/ ABS,2015,5.75,6.9,79000,Diesel,Individual,Manual,0
Maruti Ertiga SHVS VDI,2018,8.7,9.8,38000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Magna,2017,5,6.5,8471,Petrol,Individual,Manual,0
Toyota Innova Crysta 2.8 ZX AT,2016,19.75,26.6,69000,Diesel,Individual,Automatic,0
Renault Duster 110PS Diesel RxZ AMT,2017,11.44,15.1,30090,Diesel,Individual,Automatic,0
Maruti Swift VDI BSIV,2013,5.6,7.4,23000,Diesel,Individual,Manual,0
Mahindra XUV500 W8 4WD,2013,9.57,12.4,116694,Diesel,Individual,Manual,0
Mahindra Bolero ZLX,2016,3.5,11.0,40448,Diesel,Individual,Manual,0
Maruti Vitara Brezza ZDi,2018,10.46,11.0,64456,Diesel,Individual,Manual,0
Honda Amaze S Petrol,2016,5.68,7.6,51672,Petrol,Individual,Manual,0
Skoda Superb Elegance 1.8 TSI AT,2015,13.25,22.3,56073,Petrol,Individual,Automatic,0
Hyundai Santro Xing XL eRLX Euro III,2007,0.99,3.4,43206,Petrol,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Asta,2017,5.98,7.8,20000,Petrol,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Magna,2018,4.77,6.3,50234,Petrol,Individual,Manual,0
Hyundai i20 1.2 Magna,2010,3,7.1,65000,Petrol,Individual,Manual,0
Maruti Celerio VXI AT,2016,4.65,5.7,21600,Petrol,Individual,Automatic,0
Honda Civic 2006-2010 1.8 V MT,2008,2.5,13.5,72000,Petrol,Individual,Manual,0
Renault KWID RXT,2016,2.6,4.6,45000,Petrol,Individual,Manual,0
Maruti Wagon R LXI BS IV,2012,2.3,5.5,35503,Petrol,Individual,Manual,0
Maruti Swift VDI BSIV,2016,5.9,7.4,41460,Diesel,Individual,Manual,0
Hyundai Verna VTVT 1.6 AT SX Option,2015,7.2,15.1,40600,Petrol,Individual,Automatic,0
Hyundai Verna CRDi 1.6 AT SX Option,2013,5.9,15.7,87000,Diesel,Individual,Automatic,0
Toyota Etios GD SP,2016,6.55,8.1,53702,Diesel,Individual,Manual,0
Volvo S60 D4 Momentum,2015,25,45.7,51000,Diesel,Individual,Automatic,0
Ford Figo Diesel EXI,2012,2.65,5.7,36542,Diesel,Individual,Manual,0
BMW 3 Series 320d Luxury Line,2012,14,54.7,65000,Diesel,Individual,Automatic,0
Toyota Innova Crysta 2.4 VX MT,2017,20.4,22.9,24393,Diesel,Individual,Manual,0
Volkswagen Polo 1.0 MPI Trendline,2019,5.68,6.7,1000,Petrol,Individual,Manual,0
Mitsubishi Pajero Sport 4X4,2013,12.75,33.1,59000,Diesel,Individual,Manual,0
Maruti Ertiga VDI,2016,7.75,9.9,54000,Diesel,Individual,Manual,0
Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,13.9,12.5,90000,Diesel,Individual,Manual,0
Ford Figo Diesel Titanium,2014,3.25,6.2,54000,Diesel,Individual,Manual,0
Maruti Wagon R LXI CNG,2015,3.65,6.4,70000,CNG,Individual,Manual,0
Ambassador Classic Nova Diesel,2003,1.35,4.7,80000,Diesel,Individual,Manual,2
Mahindra Scorpio VLX 2.2 mHawk BSIII,2012,6.32,18.6,62729,Diesel,Individual,Manual,0
Volkswagen Vento Diesel Comfortline,2012,3.4,10.0,34000,Diesel,Individual,Manual,0
Toyota Corolla Altis 1.8 VL CVT,2017,18,23.3,21000,Petrol,Individual,Automatic,0
Toyota Corolla Altis 1.4 DG,2012,6.5,19.3,52000,Diesel,Individual,Manual,0
Maruti Ritz VDi,2013,4.35,6.2,20248,Diesel,Individual,Manual,0
Jaguar XE 2.0L Diesel Prestige,2018,40,52.8,1000,Diesel,Individual,Automatic,0
Mahindra Xylo D4,2016,6.15,11.7,85000,Diesel,Individual,Manual,0
Maruti Swift VDI,2017,6.24,7.9,34613,Diesel,Individual,Manual,0
Maruti Ertiga VDI Limited Edition,2015,4.8,12.8,153000,Diesel,Individual,Manual,0
Hyundai Xcent 1.2 VTVT S,2014,5.5,7.9,54000,Petrol,Individual,Manual,0
Mahindra XUV500 W8 2WD,2013,7,15.4,43000,Diesel,Individual,Manual,0
Maruti Alto K10 2010-2014 VXI,2012,2.4,3.4,46004,Petrol,Individual,Manual,0
Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,14.35,36.9,77395,Diesel,Individual,Automatic,0
Honda City i-VTEC CVT VX,2018,11.97,15.6,22974,Petrol,Individual,Automatic,0
Toyota Fortuner 2.8 2WD MT,2015,18.9,32.5,65012,Diesel,Individual,Manual,0
Hyundai Grand i10 Sportz,2017,5.4,6.6,17125,Petrol,Individual,Manual,0
Maruti Eeco 7 Seater Standard,2015,2.95,4.8,90413,Petrol,Individual,Manual,0
Honda City 1.5 EXI,2005,1.15,11.6,98437,Petrol,Individual,Manual,0
Hyundai i20 1.2 Magna,2010,2.3,7.1,18000,Petrol,Individual,Manual,0
Volkswagen Vento Petrol Highline AT,2011,3.4,14.4,42000,Petrol,Individual,Automatic,2
Hyundai i10 Sportz 1.2,2009,1.7,6.4,40000,Petrol,Individual,Manual,0
Ford Figo Diesel Titanium,2013,3.5,6.2,90200,Diesel,Individual,Manual,0
Toyota Innova 2.5 V Diesel 7-seater,2012,12,9.6,120000,Diesel,Individual,Manual,0
Maruti Swift LDI,2015,5.25,6.0,14000,Diesel,Individual,Manual,0
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,21.56,46.5,57456,Diesel,Individual,Automatic,0
BMW 5 Series 520d Luxury Line,2012,24.68,71.8,44450,Diesel,Individual,Automatic,0
Hyundai i20 Magna Optional 1.2,2013,3.67,7.1,63777,Petrol,Individual,Manual,0
BMW X1 M Sport sDrive 20d,2016,29.5,51.0,31000,Diesel,Individual,Automatic,0
Maruti Swift VDI BSIV,2014,4.25,7.4,57319,Diesel,Individual,Manual,0
Hyundai Verna CRDi 1.4 E,2008,1.9,10.7,121097,Diesel,Individual,Manual,1
BMW 5 Series 2003-2012 525d,2011,16.57,45.5,89000,Diesel,Individual,Automatic,0
Audi A4 2.0 TDI,2013,14,43.1,36000,Diesel,Individual,Automatic,1
Fiat Linea Classic Plus 1.3 Multijet,2013,2.5,9.5,86000,Diesel,Individual,Manual,1
BMW 3 Series 320d Luxury Line,2013,13.95,52.5,37613,Diesel,Individual,Automatic,0
Tata Nano XTA,2016,3.6,4.2,5240,Petrol,Individual,Automatic,0
Maruti Ignis 1.2 Delta,2019,6.06,6.1,16862,Petrol,Individual,Manual,0
Maruti Wagon R CNG LXI,2013,2.96,5.5,79494,CNG,Individual,Manual,0
Audi Q7 45 TDI Quattro Technology,2016,67,104.0,20002,Diesel,Individual,Automatic,0
Maruti Ciaz VXi Plus,2015,6.93,8.1,44620,Petrol,Individual,Manual,0
Hyundai Santro Xing GL,2011,2.78,3.5,20842,Petrol,Individual,Manual,0
Maruti Wagon R LXI CNG,2014,3.15,6.4,40000,CNG,Individual,Manual,1
Maruti Alto LXi,2012,2.88,5.5,49008,Petrol,Individual,Manual,0
Maruti Alto K10 VXI,2018,3.6,4.3,2100,Petrol,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Sportz AT,2018,7.55,8.6,20667,Petrol,Individual,Automatic,0
Hyundai Grand i10 1.2 Kappa Sportz,2019,6.17,6.7,18453,Petrol,Individual,Manual,0
Hyundai Verna CRDi 1.6 SX,2008,2.5,14.1,96578,Diesel,Individual,Manual,0
Renault Duster 110PS Diesel RxZ AMT,2016,11.5,15.1,45000,Diesel,Individual,Automatic,0
Maruti Ritz LXi,2016,3.2,25.2,62000,Petrol,Individual,Manual,0
Maruti Swift VDI BSIV,2013,4.85,7.4,37000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Magna AT,2018,6.2,8.0,3000,Petrol,Individual,Automatic,0
Maruti Ritz VDi,2010,3,6.2,71000,Diesel,Individual,Manual,0
Mahindra Ssangyong Rexton RX7,2014,10.5,25.2,65000,Diesel,Individual,Automatic,0
Ford Ecosport 1.5 DV5 MT Titanium Optional,2015,7.48,11.2,92708,Diesel,Individual,Manual,0
Maruti Alto LXi,2010,3.1,5.5,48105,Petrol,Individual,Manual,0
Toyota Innova Crysta 2.8 ZX AT,2016,15.49,24.8,66618,Diesel,Individual,Automatic,0
Tata Zest Revotron 1.2T XM,2016,4,7.6,43706,Petrol,Individual,Manual,0
Tata Indica Vista Quadrajet VX,2012,2.5,5.9,65000,Diesel,Individual,Manual,0
Hyundai Santro Xing XL,2007,1.35,3.4,82000,Petrol,Individual,Manual,1
Maruti Celerio VXI,2014,2.8,5.7,77000,Petrol,Individual,Manual,0
Toyota Innova Crysta 2.4 VX MT,2018,19.92,22.9,8899,Diesel,Individual,Manual,0
Chevrolet Beat Diesel LS,2016,3.15,3.9,83629,Diesel,Individual,Manual,0
Mahindra XUV500 W8 2WD,2012,7.75,15.4,37000,Diesel,Individual,Manual,0
Ford Figo Diesel ZXI,2010,2.6,6.1,90000,Diesel,Individual,Manual,0
Ford EcoSport 1.5 Petrol Titanium,2018,9.2,11.1,17000,Petrol,Individual,Manual,0
Renault Duster 85PS Diesel RxL Optional,2013,5.5,19.5,74000,Diesel,Individual,Manual,0
Maruti Alto K10 VXI,2016,3.5,4.5,10000,Petrol,Individual,Manual,0
Maruti Celerio VXI AT,2016,4.25,5.7,12000,Petrol,Individual,Automatic,1
Toyota Corolla Altis 1.8 G,2010,4.5,19.4,93000,Petrol,Individual,Manual,0
Nissan Micra Diesel XV Premium,2012,2.4,8.1,32048,Diesel,Individual,Manual,0
Honda Amaze VX i-DTEC,2016,7.5,8.9,15388,Diesel,Individual,Manual,0
Maruti Ritz VDi,2012,3.39,6.2,85112,Diesel,Individual,Manual,0
Tata Indica V2 eLS,2015,2,4.7,100073,Diesel,Individual,Manual,1
Hyundai Elantra 2.0 SX Option AT,2017,16.35,21.8,9500,Petrol,Individual,Automatic,0
Hyundai Creta 1.6 SX Automatic Diesel,2016,12.5,18.4,55000,Diesel,Individual,Automatic,0
Mahindra XUV500 W8 2WD,2012,6.25,15.4,75000,Diesel,Individual,Manual,1
Volkswagen Ameo 1.5 TDI Comfortline,2016,5.8,9.2,58095,Diesel,Individual,Manual,0
Tata Zest Revotron 1.2 XT,2015,5,8.1,7445,Petrol,Individual,Manual,0
Toyota Corolla Altis 1.8 VL CVT,2018,17.49,23.3,28321,Petrol,Individual,Automatic,0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2011,14.5,47.3,40000,Petrol,Individual,Automatic,1
Maruti Ertiga VDI,2017,8.27,9.9,43775,Diesel,Individual,Manual,0
Land Rover Range Rover Sport SE,2019,97.07,139.0,26013,Diesel,Individual,Automatic,0
Volvo V40 Cross Country D3,2013,16,32.8,92000,Diesel,Individual,Automatic,0
Land Rover Range Rover 2.2L Pure,2014,34.5,58.3,56000,Diesel,Individual,Automatic,0
Honda Accord 2.4 AT,2008,2.6,14.9,125000,Petrol,Individual,Automatic,2
Maruti Dzire AMT ZDI Plus,2017,9.15,11.5,28226,Diesel,Individual,Automatic,0
Ford EcoSport 1.5 Diesel Titanium Plus,2016,7.7,13.2,29200,Diesel,Individual,Manual,0
Tata Zest Quadrajet 1.3 XT,2018,6.69,10.1,38310,Diesel,Individual,Manual,0
Maruti Swift VDI,2014,4.25,6.9,56000,Diesel,Individual,Manual,0
Skoda Rapid 1.5 TDI AT Style,2017,10.5,15.3,31300,Diesel,Individual,Automatic,0
Toyota Innova Crysta 2.4 VX MT 8S,2019,22.55,24.0,11241,Diesel,Individual,Manual,0
Mahindra Thar CRDe,2016,9.25,11.4,19000,Diesel,Individual,Manual,0
Ford Aspire Titanium Diesel,2017,7.29,9.8,30279,Diesel,Individual,Manual,0
Mini Cooper 3 DOOR D,2016,23.5,35.0,20000,Diesel,Individual,Automatic,0
Mahindra Verito 1.5 D4 BSIV,2015,3.1,9.3,90000,Diesel,Individual,Manual,1
Volkswagen Ameo 1.2 MPI Highline,2017,7.23,8.7,22389,Petrol,Individual,Manual,0
Maruti Alto LXi BSIII,2010,2.96,5.5,59136,Petrol,Individual,Manual,0
Honda Amaze SX i-DTEC,2014,3.25,8.3,36000,Diesel,Individual,Manual,0
Hyundai Elantra CRDi SX AT,2013,8.75,18.9,51000,Diesel,Individual,Automatic,0
Land Rover Discovery Sport TD4 HSE 7S,2017,41.5,66.4,40000,Diesel,Individual,Automatic,0
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,2011,11.5,41.9,29813,Petrol,Individual,Automatic,1
Maruti Ertiga VXI CNG,2017,8.35,10.4,19234,CNG,Individual,Manual,0
Volkswagen Tiguan 2.0 TDI Highline,2017,24.9,36.5,50510,Diesel,Individual,Automatic,0
Audi Q7 45 TDI Quattro Premium Plus,2019,72.94,91.4,6773,Diesel,Individual,Automatic,0
Mahindra Bolero ZLX,2013,5.5,11.2,63000,Diesel,Individual,Manual,0
Maruti Swift Vdi BSIII,2010,3.1,6.9,135000,Diesel,Individual,Manual,0
Honda Amaze VX i-DTEC,2015,5.38,8.9,61691,Diesel,Individual,Manual,0
Maruti Celerio VXI AT,2014,4,5.7,49800,Petrol,Individual,Automatic,0
Maruti Swift VDI BSIV,2015,4.75,7.4,60095,Diesel,Individual,Manual,0
Maruti Swift VDI BSIV,2017,6,7.4,49224,Diesel,Individual,Manual,0
BMW X1 M Sport sDrive 20d,2017,30.29,51.0,32838,Diesel,Individual,Automatic,0
Ford Ecosport 1.5 DV5 MT Titanium Optional,2017,7.54,11.2,75445,Diesel,Individual,Manual,0
Maruti Ciaz VXi Plus,2015,6.84,8.1,46601,Petrol,Individual,Manual,0
Audi A4 35 TDI Premium,2016,24.74,43.4,68193,Diesel,Individual,Automatic,0
Maruti Ritz VDi,2010,3.4,6.2,79894,Diesel,Individual,Manual,0
Jaguar XE 2.0L Diesel Prestige,2017,38,53.4,4000,Diesel,Individual,Automatic,0
Mahindra Scorpio VLX,2012,6.25,18.6,62000,Diesel,Individual,Manual,0
Skoda Superb Elegance 1.8 TSI AT,2014,10.75,22.3,80000,Petrol,Individual,Automatic,0
Honda City ZX CVT,2008,2.99,15.3,56000,Petrol,Individual,Automatic,0
Honda Amaze S i-Dtech,2013,3.65,7.8,89429,Diesel,Individual,Manual,0
Maruti Wagon R LXI,2012,2.74,4.6,45631,Petrol,Individual,Manual,1
Volkswagen Vento 2013-2015 1.6 Comfortline,2016,6.2,9.9,25899,Petrol,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Magna,2017,4.9,6.5,12248,Petrol,Individual,Manual,0
Maruti Alto K10 VXI,2011,3.22,4.7,48624,Petrol,Individual,Manual,0
Hyundai Grand i10 Sportz,2016,4.53,6.6,81605,Petrol,Individual,Manual,0
BMW 5 Series 520d Luxury Line,2018,37.3,67.9,32586,Diesel,Individual,Automatic,0
Mercedes-Benz GLE 350d,2018,70.8,95.1,40129,Diesel,Individual,Automatic,0
Mercedes-Benz M-Class ML 350 CDI,2012,22.25,67.0,51000,Diesel,Individual,Automatic,0
Hyundai Grand i10 1.2 Kappa Sportz,2018,6.03,6.6,10393,Petrol,Individual,Manual,0
Skoda Superb Elegance 1.8 TSI AT,2011,4.9,22.3,46000,Petrol,Individual,Automatic,0
Mahindra Scorpio VLX,2011,5.5,18.6,100010,Diesel,Individual,Manual,1
Hyundai i20 1.2 Magna Executive,2017,6.25,7.1,58500,Petrol,Individual,Manual,0
Honda Amaze V CVT Petrol,2018,7.8,9.4,1700,Petrol,Individual,Automatic,0
Audi Q3 35 TDI Quattro Premium Plus,2016,28.03,48.6,58661,Diesel,Individual,Automatic,0
Ford Figo Diesel EXI,2012,2.75,5.7,55005,Diesel,Individual,Manual,0
Mahindra Xylo D4,2015,5,11.7,169000,Diesel,Individual,Manual,0
Hyundai Grand i10 Sportz,2015,5.64,6.6,36840,Petrol,Individual,Manual,0
Maruti Ciaz Zeta,2017,8.2,11.1,5500,Petrol,Individual,Manual,0
Ford Figo Diesel Titanium,2012,2.1,6.2,60000,Diesel,Individual,Manual,0
Hyundai Grand i10 Sportz,2016,5.04,6.6,19947,Petrol,Individual,Manual,0
Maruti Wagon R LXI,2010,2.75,4.7,21002,Petrol,Individual,Manual,0
Maruti Ertiga SHVS VDI,2017,8,9.8,121000,Diesel,Individual,Manual,0
Maruti Alto LXi BSIII,2010,1.85,5.5,73513,Petrol,Individual,Manual,0
Maruti Eeco 7 Seater Standard,2017,4.74,5.0,28371,Petrol,Individual,Manual,0
Mahindra XUV500 W8 2WD,2012,5.99,15.4,88000,Diesel,Individual,Manual,0
Renault KWID Climber 1.0 MT,2017,4.25,5.0,15000,Petrol,Individual,Manual,0
Maruti Swift DDiS VDI,2008,2.7,7.2,150000,Diesel,Individual,Manual,1
Hyundai i20 1.2 Magna,2011,3.4,7.1,37442,Petrol,Individual,Manual,0
Hyundai i20 1.2 Magna Executive,2016,6.95,7.1,28470,Petrol,Individual,Manual,0
Maruti Swift VDI,2014,5.1,6.9,75216,Diesel,Individual,Manual,0
Hyundai i20 Sportz 1.2,2017,6.75,8.0,8000,Petrol,Individual,Manual,0
Maruti Swift VDI,2013,5.45,6.9,53996,Diesel,Individual,Manual,0
Honda WRV i-VTEC VX,2018,9.29,10.6,15135,Petrol,Individual,Manual,0
Mahindra XUV500 W8 2WD,2014,7.83,15.4,70963,Diesel,Individual,Manual,0
Maruti Wagon R LXI CNG,2013,3.15,6.4,25755,CNG,Individual,Manual,0
Toyota Innova 2.5 V Diesel 7-seater,2013,10.4,9.6,51450,Diesel,Individual,Manual,0
Maruti Swift VDI,2012,4.35,6.9,75000,Diesel,Individual,Manual,0
Maruti Wagon R VXI AMT,2017,5.23,6.3,37832,Petrol,Individual,Automatic,0
Hyundai Grand i10 1.2 Kappa Asta,2016,6.01,8.1,43041,Petrol,Individual,Manual,0
Honda Amaze VX i-DTEC,2014,4.4,8.9,97236,Diesel,Individual,Manual,0
Toyota Fortuner 4x2 Manual,2012,12.99,32.6,115000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Magna,2017,5,6.4,31184,Petrol,Individual,Manual,0
Maruti Dzire AMT ZDI Plus,2017,9,11.3,41747,Diesel,Individual,Automatic,0
Maruti Swift VDI,2016,5.22,6.9,38143,Diesel,Individual,Manual,0
Toyota Etios Liva 1.2 VX Dual Tone,2019,7.27,7.6,20877,Petrol,Individual,Manual,0
Maruti Swift VXI,2016,5.1,7.0,23555,Petrol,Individual,Manual,0
Volkswagen Polo GT TSI,2016,7.25,11.3,28000,Petrol,Individual,Automatic,0
Tata Bolt Quadrajet XE,2017,5.25,7.4,40000,Diesel,Individual,Manual,0
Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,24.5,36.9,21000,Diesel,Individual,Automatic,0
Toyota Innova 2.5 GX (Diesel) 7 Seater,2013,8.31,12.5,62162,Diesel,Individual,Manual,0
Mercedes-Benz M-Class ML 350 CDI,2012,36,67.0,83000,Diesel,Individual,Automatic,0
Hyundai Xcent 1.1 CRDi S,2015,5.5,8.1,58000,Diesel,Individual,Manual,0
Honda Accord 2.4 AT,2011,5.89,14.9,62332,Petrol,Individual,Automatic,0
Hyundai Elantra CRDi SX,2012,6.25,18.9,98008,Diesel,Individual,Manual,0
Ford Figo Diesel Titanium,2015,4.95,6.2,36000,Diesel,Individual,Manual,0
Hyundai i20 1.2 Magna Executive,2019,6.27,7.1,27339,Petrol,Individual,Manual,0
Hyundai Elantra 1.6 SX Option AT,2014,8.9,22.4,49000,Diesel,Individual,Automatic,0
Jeep Compass 2.0 Limited Option Black,2017,17.45,24.0,7000,Diesel,Individual,Manual,0
Toyota Corolla Altis 1.8 GL,2012,6.22,21.7,83184,Petrol,Individual,Manual,0
Mahindra XUV500 W8 2WD,2013,7.8,15.4,87284,Diesel,Individual,Manual,0
Mercedes-Benz GLE 350d,2017,64.87,95.1,33552,Diesel,Individual,Automatic,0
Hyundai i20 1.2 Magna,2011,2.7,7.1,82000,Petrol,Individual,Manual,1
Hyundai i10 Sportz 1.2,2010,2.1,6.4,77000,Petrol,Individual,Manual,1
Maruti Ertiga VDI,2014,5.35,9.9,79870,Diesel,Individual,Manual,0
Honda Amaze S i-Dtech,2013,3.8,7.8,90000,Diesel,Individual,Manual,0
Mercedes-Benz A Class A180 Sport,2016,17.25,34.6,17000,Petrol,Individual,Automatic,0
Hyundai Grand i10 1.2 Kappa Magna,2018,5.53,6.3,46493,Petrol,Individual,Manual,0
Hyundai i10 Sportz 1.2,2009,1.95,6.4,68000,Petrol,Individual,Manual,2
Toyota Innova 2.5 GX (Diesel) 7 Seater,2013,6.5,12.5,255000,Diesel,Individual,Manual,2
Maruti Celerio VXI AT,2014,3.8,5.7,53000,Petrol,Individual,Automatic,0
BMW 3 Series 320d,2011,10.9,43.3,100000,Diesel,Individual,Automatic,1
Hyundai Grand i10 Sportz,2018,5.1,6.6,1800,Petrol,Individual,Manual,0
Audi A4 New 2.0 TDI Multitronic,2012,10.35,31.8,60000,Diesel,Individual,Automatic,1
Maruti Eeco 7 Seater Standard,2014,2.9,4.7,34669,Petrol,Individual,Manual,0
Toyota Innova Crysta 2.8 GX AT,2019,19.65,20.7,10601,Diesel,Individual,Automatic,0
Honda CR-V 2.4 MT,2007,4.7,24.4,98000,Petrol,Individual,Manual,1
Mercedes-Benz GLS 350d Grand Edition,2018,79,102.0,6000,Diesel,Individual,Automatic,0
Hyundai Grand i10 1.2 Kappa Sportz,2018,5.75,6.7,9434,Petrol,Individual,Manual,0
Maruti Swift Ldi BSIV,2014,3.75,6.0,62000,Diesel,Individual,Manual,0
Ford Figo Diesel EXI,2010,1.4,5.7,90000,Diesel,Individual,Manual,1
Volkswagen Ameo 1.2 MPI Highline,2018,7.27,8.7,35569,Petrol,Individual,Manual,0
Audi A4 3.0 TDI Quattro Premium,2012,16.11,50.0,46913,Diesel,Individual,Automatic,0
Mahindra Ssangyong Rexton RX7,2014,10.55,25.2,62000,Diesel,Individual,Automatic,0
Toyota Fortuner 2.8 2WD AT,2017,30,34.5,15000,Diesel,Individual,Automatic,0
Maruti Wagon R LXI CNG,2016,3.3,6.4,77000,CNG,Individual,Manual,0
Audi A6 2011-2015 2.0 TDI,2014,20.12,46.5,62012,Diesel,Individual,Automatic,0
Honda City 1.5 EXI,2005,1.7,11.6,88000,Petrol,Individual,Manual,1
Audi A4 2.0 TDI,2013,13.19,43.1,45330,Diesel,Individual,Automatic,0
Maruti Dzire VDI,2016,5.75,8.6,45376,Diesel,Individual,Manual,0
Mahindra XUV500 W8 4WD,2014,9,12.4,81000,Diesel,Individual,Manual,0
Ford EcoSport 1.5 Diesel Titanium Plus,2017,8.09,12.7,78526,Diesel,Individual,Manual,0
BMW X1 sDrive 20d xLine,2015,22.24,48.2,42265,Diesel,Individual,Automatic,1
Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,18,36.9,70000,Diesel,Individual,Automatic,0
Ford EcoSport 1.5 Diesel Titanium,2017,8.99,11.9,26000,Diesel,Individual,Manual,0
Maruti Dzire ZDI Plus,2017,8.2,10.5,24000,Diesel,Individual,Manual,0
Maruti Alto LXi,2008,1.59,5.5,65000,Petrol,Individual,Manual,0
Mahindra XUV500 AT W10 FWD,2016,13.75,17.3,41000,Diesel,Individual,Automatic,0
Maruti Swift VDI,2014,5.79,6.9,83274,Diesel,Individual,Manual,0
Audi A3 35 TDI Technology,2017,22.5,32.2,22000,Diesel,Individual,Automatic,1
Hyundai Verna VTVT 1.6 SX Option,2013,5.25,13.6,57478,Petrol,Individual,Manual,1
